step,loss,mean_reward,mean_quality,mean_cost_usd,mean_w_q,mean_w_c,policy_entropy_nats,val_quality,val_cost_usd,val_action_entropy_bits
1,-0.027195654809474945,0.18605245649814606,0.630859375,0.0025550024583935738,0.5052911639213562,0.4947088956832886,2.395151376724243,nan,nan,nan
2,-0.03894524276256561,0.21071234345436096,0.611328125,0.0017266960348933935,0.5305608510971069,0.4694390892982483,2.392618179321289,nan,nan,nan
3,-0.04042341932654381,0.18631088733673096,0.634765625,0.001846485072746873,0.493574857711792,0.506425142288208,2.386889696121216,nan,nan,nan
4,-0.054529182612895966,0.1804102212190628,0.6025390625,0.0022301313001662493,0.49641692638397217,0.5035830736160278,2.379580497741699,nan,nan,nan
5,-0.0540243461728096,0.21621288359165192,0.630859375,0.0018707240233197808,0.5035486221313477,0.49645140767097473,2.3703439235687256,nan,nan,nan
6,-0.06512710452079773,0.2002997100353241,0.6222655773162842,0.0017411382868885994,0.5075566172599792,0.4924434423446655,2.358597755432129,nan,nan,nan
7,-0.06096940115094185,0.21631771326065063,0.6474609375,0.0016403088811784983,0.4791836142539978,0.5208163857460022,2.3448433876037598,nan,nan,nan
8,-0.045099690556526184,0.2564917206764221,0.6341797113418579,0.0012883429881185293,0.5072997808456421,0.4927002489566803,2.328371524810791,nan,nan,nan
9,-0.06132262200117111,0.23968817293643951,0.6439453363418579,0.001413534628227353,0.5162708163261414,0.48372918367385864,2.3102002143859863,nan,nan,nan
10,-0.08033181726932526,0.2594069242477417,0.629687488079071,0.0011886367574334145,0.5237429141998291,0.4762570559978485,2.288710832595825,nan,nan,nan
11,-0.08108054101467133,0.2306607961654663,0.6416015625,0.001378462417051196,0.49374210834503174,0.5062578916549683,2.266296863555908,nan,nan,nan
12,-0.07053708285093307,0.25050511956214905,0.640625,0.001351185142993927,0.5058361887931824,0.4941638112068176,2.2370805740356445,nan,nan,nan
13,-0.04850180819630623,0.27264368534088135,0.6279296875,0.0009416972752660513,0.5001656413078308,0.4998343586921692,2.2074313163757324,nan,nan,nan
14,-0.06875509768724442,0.2846635580062866,0.642578125,0.0010272804647684097,0.5010949373245239,0.4989050626754761,2.1756162643432617,nan,nan,nan
15,-0.07028324902057648,0.3036418557167053,0.6537109613418579,0.0008471086039207876,0.5128682851791382,0.4871317446231842,2.1401920318603516,nan,nan,nan
16,-0.06419970095157623,0.24812406301498413,0.609375,0.0008713160641491413,0.4776758551597595,0.5223241448402405,2.1025807857513428,nan,nan,nan
17,-0.10136037319898605,0.22986134886741638,0.5693359375,0.0010135131888091564,0.4936891198158264,0.5063108801841736,2.0606422424316406,nan,nan,nan
18,-0.070351243019104,0.29754549264907837,0.71875,0.0007168762385845184,0.47803324460983276,0.521966814994812,2.014385223388672,nan,nan,nan
19,-0.09180176258087158,0.26405709981918335,0.650390625,0.0008295113802887499,0.4848518371582031,0.5151481628417969,1.960793137550354,nan,nan,nan
20,-0.07035435736179352,0.31151705980300903,0.7054687738418579,0.0007007608655840158,0.5009317398071289,0.4990682899951935,1.8963879346847534,nan,nan,nan
21,-0.05122517794370651,0.3034834861755371,0.69921875,0.0007361386669799685,0.48666977882385254,0.5133302807807922,1.8268077373504639,nan,nan,nan
22,-0.08030052483081818,0.3171120285987854,0.7109375,0.0006998605094850063,0.5076134204864502,0.4923865795135498,1.7392843961715698,nan,nan,nan
23,-0.039711568504571915,0.30209559202194214,0.6509765386581421,0.0006174491718411446,0.5116318464279175,0.48836812376976013,1.64919114112854,nan,nan,nan
24,-0.13162612915039062,0.3296127915382385,0.6943359375,0.0006602468783967197,0.5247330069541931,0.4752669930458069,1.559542179107666,nan,nan,nan
25,-0.10592155903577805,0.3127867579460144,0.6908203363418579,0.0006459726137109101,0.48757052421569824,0.5124294757843018,1.4490269422531128,nan,nan,nan
26,-0.07344157248735428,0.35938796401023865,0.73046875,0.0005874179769307375,0.5421897768974304,0.45781025290489197,1.310600757598877,nan,nan,nan
27,-0.10988642275333405,0.35877084732055664,0.7677733898162842,0.0005928296595811844,0.4929291605949402,0.5070708394050598,1.2033629417419434,nan,nan,nan
28,-0.11257512122392654,0.29683080315589905,0.7041015625,0.0006168308900669217,0.47546303272247314,0.5245369672775269,1.0732208490371704,nan,nan,nan
29,-0.06238259747624397,0.32885289192199707,0.7515624761581421,0.0006066058995202184,0.49389562010765076,0.5061043500900269,0.9098795056343079,nan,nan,nan
30,-0.04545127600431442,0.30692437291145325,0.68359375,0.0006230855360627174,0.4992397129535675,0.5007603168487549,0.7875950336456299,nan,nan,nan
31,-0.0726596862077713,0.35465502738952637,0.724609375,0.0006267941789701581,0.5370293855667114,0.46297064423561096,0.6658412218093872,nan,nan,nan
